일자,코스닥,화학,종이·목재,제약,일반전기전자,의료·정밀기기,음식료·담배,운송장비·부품,섬유·의류,비금속,기계·장비,금속,IT H/W,IT S/W & SVC,통신방송서비스,유통,운송,오락·문화,금융,건설,제조업,IT부품,반도체,정보기기,통신장비,컴퓨터서비스,소프트웨어,디지털컨텐츠,인터넷,방송서비스,통신서비스,기타제조,출판·매체복제,기타서비스
2023/04/20,885.71,3233.17,11131.59,8196.6,2415.33,2020.64,8779.41,6344.38,104.33,48578.69,648.8,3041.78,621.34,1740.5,977.59,466.56,9349.65,685.93,1750.4,80.36,3111.2,1388.38,1498.88,12.23,136.8,223.77,244.84,1081.13,10332.43,2871.58,720.45,1544.42,3803.63,2451.24
2023/04/19,909.2,3347.91,11303.12,8461.33,2443.06,2072.87,8885.12,6514.66,104.49,49821.66,668.97,3091.19,645.46,1784.44,995.6,477.48,9349.06,699.85,1778.52,82.71,3186.08,1469.06,1535.51,12.51,141.07,232.86,251.87,1106.05,10339.34,2927.05,732.27,1597.75,3716.39,2519.24
2023/04/18,909.02,3344.15,11168.92,8515.89,2445.93,2054.29,8802.68,6404.75,103.71,49678.32,660.48,3115.8,637.86,1785.25,1004.39,481.11,9215.43,700.23,1850.22,81.23,3180.04,1440.58,1527.53,11.99,140.53,228.61,250.98,1112.82,10375.95,2972.2,727.8,1588.97,3703.7,2528.44
2023/04/17,909.5,3323.98,11276.48,8607.95,2437.01,2062.9,8765.58,6471.06,101.43,49818.72,654.2,3082.1,639.72,1811.36,1006.54,486.0,9189.97,700.86,1775.59,83.09,3180.04,1418.67,1558.41,11.85,140.42,231.23,255.67,1126.63,10394.03,2971.79,733.19,1618.64,3745.4,2534.72
2023/04/14,903.84,3301.08,11354.95,8729.94,2329.91,2057.26,8626.67,6430.33,100.31,49836.16,652.56,3017.41,639.0,1811.2,1016.47,484.34,9112.49,697.92,1763.65,81.72,3150.15,1409.0,1565.12,11.8,139.94,231.95,255.68,1125.2,10458.89,3011.34,734.63,1648.01,3752.95,2503.61
2023/04/13,894.25,3279.49,11286.58,8693.34,2273.35,2065.51,8497.94,6410.33,99.79,49783.34,648.72,2871.43,635.37,1789.08,1004.89,492.41,8901.65,679.47,1751.31,80.66,3114.0,1375.77,1578.77,11.66,139.73,227.5,253.72,1106.39,10394.07,2970.26,730.08,1647.12,3684.6,2422.03
2023/04/12,890.62,3304.21,11290.7,8599.9,2308.34,2028.81,8465.02,6466.58,98.32,49974.33,650.72,2830.76,634.2,1757.82,993.42,485.28,8853.29,653.79,1807.91,80.1,3109.63,1368.69,1578.84,11.72,139.84,225.7,251.58,1075.21,10266.97,2927.78,726.62,1553.11,3699.31,2395.15
2023/04/11,898.94,3390.91,11533.79,8318.61,2419.9,2017.05,8397.52,6175.76,98.05,50119.13,652.35,2881.72,645.36,1747.6,989.53,455.76,8875.7,656.21,2049.11,80.11,3124.87,1411.44,1596.78,11.53,139.87,220.2,249.76,1071.7,10286.43,2914.31,724.92,1624.26,3684.81,2384.26
2023/04/10,887.78,3368.5,11783.77,8275.38,2398.56,1998.83,8319.75,5978.01,97.41,49310.62,644.4,2857.82,634.07,1739.8,986.48,446.77,8828.08,651.44,1956.32,79.25,3097.86,1399.45,1553.55,11.49,138.62,219.52,247.27,1073.03,10224.3,2905.52,722.56,1635.03,3653.69,2385.51
2023/04/07,880.07,3374.41,11904.15,8339.2,2199.93,2025.16,8430.54,5987.26,98.88,49428.19,654.21,2793.89,639.32,1785.86,1010.24,446.73,8920.69,662.44,1704.08,79.7,3057.37,1398.37,1575.17,11.54,141.28,228.08,253.86,1100.98,10398.42,2982.47,736.02,1609.04,3726.88,2402.68
