종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
팅크웨어,2006.05.09~05.11,"10,000","8,500~9,500",691.3 : 1,한국투자증권,
진바이오텍,2006.04.17~04.19,"5,000","4,500~6,500",1012.73  : 1,한국투자증권,
애강,2006.03.29~03.31,"2,800","2,400~3,000",835.64 : 1,한화증권,
미래에셋증권(유가),2006.02.06~02.08,"48,000","43,000~53,000",293.5 : 1,삼성증권,
롯데쇼핑(유가),2006.02.01~02.03,"400,000","340,000~430,000",77.04 : 1,대우증권,
엠비즈네트웍스글로벌,2006.01.20~01.24,"15,000","12,000~15,000",596.73  : 1,한국투자증권,
글로벌스탠다드테크놀로지,2006.01.18~01.20,"5,800","5,000~6,000",683.26  : 1,우리투자증권,
제우스,2006.01.18~01.20,"13,500","13,000~18,000",291.13 : 1,교보증권,
모건코리아,2006.01.18~01.20,"1,600","1,300~1,700",765.11  : 1,신영증권,
모빌탑,2006.01.13~01.17,"12,400","9,100~12,400",902.88 : 1,한국투자,
오늘과내일,2006.01.10~01.12,"4,100","3,600~4,400",490.17 : 1,굿모닝신한,
유진테크,2006.01.04~01.06,"7,800","7,000~8,000",758.11 : 1,현대증권,
뉴프렉스,2006.01.04~01.06,"7,100","7,000~8,000",1059.1 : 1,한국투자증권,
크리스탈지노믹스,2005.12.27~12.29,"18,000","18,000~23,000",700.52 : 1,대우증권,
바이로메드,2005.12.21~12.23,"15,000","14,000~17,000",430.79  : 1,현대증권,
바이오니아,2005.12.19~12.21,"11,000","6,000~11,000",287.38 : 1,대우증권,
글로비스(유가),2005.12.14~12.16,"21,300","19,000~21,000",150.14 : 1,대우증권,
윈포넷,2005.12.14~12.16,"8,600","8,000~9,000",233.1 : 1,미래에셋증권,
드림씨티방송(유가),2005.12.13~12.15,0,"39,100~47,900",,삼성증권,
와이엔텍,2005.12.13~12.15,"2,700","2,300~2,700",261.52 : 1,교보증권,
모젬,2005.12.13~12.15,"17,000","12,000~16,000",161.05 : 1,대투증권,
디오스텍,2005.12.13~12.15,"6,200","5,000~5,700",591.10 : 1,미래에셋증권,
대봉엘에스,2005.12.13~12.15,"4,200","3,400~4,200",353.30 : 1,한국투자증권,
